login.html 			登陆
zhuce.html 			注册
Message Board.html		留言板
FAQS/FAQ.html			常见问题
Modify information.html		修改个人信息
articles-list.html		搜索查找
Commentary.html			文章 评论
Full screen width.html		常见问题
Others view information page.html 对别人信息查看
personal.html			个人信息
Reply page.html 		回复界面
Charitabledonations		慈善募捐
house_edit.html                 管理员修改信息页面
Administrators.html		管理员页面
